_c0,_c1,_c2,_c3,_c4,_c5,_c6,_c7,_c8,_c9
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
ar.wikipedia,هجمات_الحرمان_من_الخدمات,-1,mobile-app,18,2,user,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,18,20,user,2019,9,7
pl.wikipedia,DDoS,-1,mobile-app,18,3,user,2019,9,7
pl.wikipedia,DoS,-1,mobile-app,18,2,user,2019,9,7
ru.wikipedia,DoS-атака,-1,mobile-app,18,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,18,8,user,2019,9,7
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,18,1,user,2019,9,7
it.wikipedia,Denial_of_service,-1,mobile-app,18,2,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,18,1,spider,2019,9,7
ar.wikipedia,هجمات_الحرمان_من_الخدمات,-1,mobile-app,19,1,user,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,19,23,user,2019,9,7
pl.wikipedia,DDoS,-1,mobile-app,19,1,user,2019,9,7
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,19,1,user,2019,9,7
ru.wikipedia,DoS-атака,-1,mobile-app,19,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,19,7,user,2019,9,7
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,19,1,user,2019,9,7
it.wikipedia,Denial_of_service,-1,mobile-app,19,1,user,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,20,14,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,20,11,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,20,1,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,21,17,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,21,7,user,2019,9,7
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,21,1,user,2019,9,7
hu.wikipedia,Szolgáltatásmegtagadással_járó_támadás,-1,mobile-app,21,2,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,21,2,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,22,7,user,2019,9,7
pl.wikipedia,DDoS,-1,mobile-app,22,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,22,7,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,22,1,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,23,5,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,23,8,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,23,1,spider,2019,9,7
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,mobile-app,2,8,user,2019,9,7
it.wikipedia,Denial_of_service,-1,mobile-app,2,3,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,2,2,spider,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,3,18,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,3,5,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,3,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,4,10,user,2019,9,7
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,4,1,user,2019,9,7
it.wikipedia,Denial_of_service,-1,mobile-app,4,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,4,1,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,4,3,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,5,6,user,2019,9,7
it.wikipedia,Denial_of_service,-1,mobile-app,5,2,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,5,3,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,5,20,user,2019,9,7
nl.wikipedia,Distributed_denial_of_service,-1,mobile-app,5,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,6,7,user,2019,9,7
it.wikipedia,Denial_of_service,-1,mobile-app,6,1,user,2019,9,7
vi.wikipedia,Tấn_công_từ_chối_dịch_vụ,-1,mobile-app,6,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,6,1,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,6,11,user,2019,9,7
pl.wikipedia,DDoS,-1,mobile-app,6,1,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,7,7,user,2019,9,7
vi.wikipedia,Tấn_công_từ_chối_dịch_vụ,-1,mobile-app,7,1,user,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,7,9,user,2019,9,7
ja.wikipedia,DoS攻撃,-1,mobile-app,7,2,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,mobile-app,8,6,user,2019,9,7
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,8,6,user,2019,9,7
it.wikipedia,Denial_of_service,-1,mobile-app,8,2,user,2019,9,7
en.wikipedia,Denial-of-service_attack,-1,desktop,8,2,spider,2019,9,7
de.wikipedia,Denial_of_Service,-1,mobile-app,8,14,user,2019,9,7
ja.wikipedia,DoS攻撃,-1,mobile-app,8,2,user,2019,9,7
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,1,2,spider,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,1,2,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,1,7,user,2019,9,8
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,2,1,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,desktop,2,1,spider,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,2,2,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,2,4,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,desktop,3,2,spider,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,3,1,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,3,3,user,2019,9,8
id.wikipedia,Serangan_DoS,-1,mobile-app,3,1,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,4,6,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,4,1,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,5,14,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,5,3,user,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,5,8,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,6,12,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,6,2,user,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,6,5,user,2019,9,8
pl.wikipedia,DDoS,-1,mobile-app,7,1,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,desktop,7,1,spider,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,7,7,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,7,4,user,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,7,6,user,2019,9,8
it.wikipedia,Denial_of_service,-1,mobile-app,8,1,user,2019,9,8
pl.wikipedia,DDoS,-1,mobile-app,8,1,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,8,7,user,2019,9,8
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,16,3,spider,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,mobile-app,16,5,user,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,mobile-app,17,3,user,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,desktop,18,1,spider,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,mobile-app,18,2,user,2019,9,6
ca.wikipedia,Atac_de_denegació_de_servei,-1,mobile-app,19,1,user,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,desktop,19,1,spider,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,desktop,20,3,spider,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,mobile-app,20,1,user,2019,9,6
ru.wikipedia,DoS-атака,-1,mobile-app,21,1,user,2019,9,6
fa.wikipedia,حمله_محروم‌سازی_از_سرویس,-1,mobile-app,21,1,user,2019,9,6
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,21,3,user,2019,9,6
ar.wikipedia,هجمات_الحرمان_من_الخدمات,-1,mobile-app,21,2,user,2019,9,6
de.wikipedia,Denial_of_Service,-1,mobile-app,21,4,user,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,desktop,21,1,spider,2019,9,6
pl.wikipedia,DDoS,-1,mobile-app,21,1,user,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,mobile-app,21,4,user,2019,9,6
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,22,2,user,2019,9,6
de.wikipedia,Denial_of_Service,-1,mobile-app,22,5,user,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,desktop,22,5,spider,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,mobile-app,22,2,user,2019,9,6
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,23,1,user,2019,9,6
de.wikipedia,Denial_of_Service,-1,mobile-app,23,4,user,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,desktop,23,3,spider,2019,9,6
en.wikipedia,Denial-of-service_attack,-1,mobile-app,23,2,user,2019,9,6
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
ja.wikipedia,DoS攻撃,-1,mobile-app,7,1,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,mobile-app,7,1,user,2019,9,10
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,7,1,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,7,1,spider,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,mobile-app,6,1,user,2019,9,10
fr.wikipedia,Attaque_par_déni_de_service,-1,mobile-app,6,1,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,6,2,spider,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,mobile-app,5,1,user,2019,9,10
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,5,2,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,5,2,spider,2019,9,10
es.wikipedia,Ataque_de_denegación_de_servicio,-1,mobile-app,4,1,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,4,6,spider,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,mobile-app,3,2,user,2019,9,10
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,3,2,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,3,1,spider,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,mobile-app,2,1,user,2019,9,10
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,2,1,user,2019,9,10
fi.wikipedia,Palvelunestohyökkäys,-1,mobile-app,2,2,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,2,1,spider,2019,9,10
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,1,1,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,1,5,spider,2019,9,10
ru.wikipedia,DoS-атака,-1,mobile-app,1,1,user,2019,9,10
en.wikipedia,Denial-of-service_attack,-1,desktop,0,1,spider,2019,9,10
de.wikipedia,Denial_of_Service,-1,mobile-app,0,1,user,2019,9,10
domain,title,pageID,accessType,hour,count,trafficType,year,month,day
en.wikipedia,Denial-of-service_attack,-1,desktop,11,2,spider,2019,9,8
fa.wikipedia,حمله_محروم‌سازی_از_سرویس,-1,mobile-app,11,1,user,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,11,8,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,11,8,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,11,4,user,2019,9,8
it.wikipedia,Denial_of_service,-1,mobile-app,11,1,user,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,12,6,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,12,5,user,2019,9,8
it.wikipedia,Denial_of_service,-1,mobile-app,12,1,user,2019,9,8
ru.wikipedia,DoS-атака,-1,mobile-app,12,1,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,13,1,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,13,6,user,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,14,1,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,14,11,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,mobile-app,14,2,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,desktop,15,2,spider,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,15,6,user,2019,9,8
de.wikipedia,Denial_of_Service,-1,mobile-app,15,6,user,2019,9,8
en.wikipedia,Denial-of-service_attack,-1,desktop,16,1,spider,2019,9,8
he.wikipedia,התקפת_מניעת_שירות,-1,mobile-app,16,1,user,2019,9,8
