_c0,_c1
1535760000,1553159
1535763600,1539935
1535767200,1490035
1535770800,1363639
1535774400,1497119
1535778000,1475419
1535781600,1554678
1535785200,1513643
1535788800,1489277
1535792400,1537052
1535796000,1552508
1535799600,1560517
1535803200,1668584
1535806800,1695998
1535810400,1723700
1535814000,1703157
1535817600,1716790
1535821200,1737264
1535824800,1718078
1535828400,1790179
1535832000,1715068
1535835600,1590678
1535839200,1517516
1535842800,1470484
1535846400,1379309
1535850000,1307916
1535853600,1346394
1535857200,1264212
1535860800,1308779
1535864400,1356104
1535868000,1412800
1535871600,1460304
1535875200,1487173
1535878800,1480565
1535882400,1505211
1535886000,1555772
1535889600,1641073
1535893200,1656978
1535896800,1683046
1535900400,1722898
1535904000,1709947
1535907600,1700225
1535911200,1845038
1535914800,2001221
1535918400,1884647
1535922000,1766882
1535925600,1550111
1535929200,1483411
1535932800,1388606
1535936400,1307550
1535940000,1405183
1535943600,1380069
1535947200,1450105
1535950800,1532774
1535954400,1695350
1535958000,1771589
1535961600,1783749
1535965200,1752748
1535968800,1773453
1535972400,1861689
1535976000,1977930
1535979600,1885009
1535983200,1875775
1535986800,1738805
1535990400,1764421
1535994000,1743121
1535997600,1816707
1536001200,1725845
1536004800,1781232
1536008400,1602347
1536012000,1479756
1536015600,1468198
1536019200,1419548
1536022800,1406869
1536026400,1519432
1536030000,1706589
1536033600,1479186
1536037200,1492202
1536040800,1597526
1536044400,1632529
1536048000,1671957
1536051600,1676045
1536055200,1705552
1536058800,1821534
1536062400,1965963
1536066000,1977503
1536069600,1963913
1536073200,1857914
1536076800,1806027
1536080400,1805627
1536084000,1775953
1536087600,1871788
1536091200,1850808
1536094800,1674471
1536098400,1540611
1536102000,1640741
1536105600,1503349
1536109200,1501197
1536112800,1488594
1536116400,1468868
1536120000,1430105
1536123600,1470424
1536127200,1582687
1536130800,1583231
1536134400,1646925
1536138000,1734751
1536141600,1681264
1536145200,1643400
1536148800,1738229
1536152400,1848162
1536156000,2003220
1536159600,1930467
1536163200,1880474
1536166800,1884230
1536170400,1905955
1536174000,1901856
1536177600,1923369
1536181200,1723949
1536184800,1604539
1536188400,1584792
1536192000,1566399
1536195600,1452414
1536199200,1461081
1536202800,1421607
1536206400,1404467
1536210000,1507565
1536213600,1668873
1536217200,1816297
1536220800,1913864
1536224400,1766705
1536228000,1798776
1536231600,1843113
1536235200,1955122
1536238800,2003435
1536242400,2032390
1536246000,1926418
1536249600,1940084
1536253200,1872263
1536256800,1897153
1536260400,1952014
1536264000,1853845
1536267600,1760125
1536271200,1582977
1536274800,1616392
1536278400,1540037
1536282000,1445871
1536285600,1361778
1536289200,1329821
1536292800,1461984
1536296400,1613642
1536300000,1718737
1536303600,1884674
1536307200,2094657
1536310800,2073184
1536314400,2050203
1536318000,1771767
1536321600,1803914
1536325200,1893544
1536328800,1958702
1536332400,1965984
1536336000,1957726
1536339600,1934108
1536343200,1918403
1536346800,1879921
1536350400,1825984
1536354000,1734817
1536357600,1647759
1536361200,1668532
1536364800,1578608
1536368400,1569837
1536372000,1611865
1536375600,1633750
1536379200,1593325
1536382800,1601173
1536386400,1661971
1536390000,1751849
1536393600,1816574
1536397200,1788626
1536400800,1755613
1536404400,1737681
1536408000,1903098
1536411600,1923550
1536415200,1985217
1536418800,1926374
1536422400,1920273
1536426000,1940363
1536429600,1958070
1536433200,1950983
1536436800,1990623
1536440400,1851359
1536444000,1738019
1536447600,1653287
1536451200,1533876
1536454800,1498197
1536458400,1456126
1536462000,1465246
1536465600,1427890
1536469200,1438181
1536472800,1596674
1536476400,1642878
1536480000,1685186
1536483600,1724926
