year,month,day,hour,sumCount
2019,9,23,7,1878655
2019,9,19,10,1654071
2019,9,17,16,1677510
2019,9,18,18,1664228
2019,9,19,6,1534700
2019,9,29,3,1601970
2019,9,23,6,1721283
2019,9,19,7,1664792
2019,9,19,12,1661675
2019,9,18,19,1800563
2019,9,19,5,1378033
2019,9,19,11,1626805
2019,9,29,5,1671911
2019,9,29,2,1474660
2019,9,29,4,1631951
2019,9,23,3,1682887
2019,9,18,21,1635398
2019,9,23,2,1956641
2019,9,17,13,1691222
2019,9,29,6,1767493
2019,9,17,12,1657218
2019,9,17,15,1653997
2019,9,18,17,1671845
2019,9,18,14,1732872
2019,9,18,15,1725316
2019,9,19,8,1696889
2019,9,29,1,1547577
2019,9,17,10,1622241
2019,9,29,7,1879293
2019,9,19,9,1700479
2019,9,23,1,1956162
2019,9,18,20,1806228
2019,9,23,4,1502305
2019,9,18,16,1684145
2019,9,17,11,1681369
2019,9,17,17,1698410
2019,9,17,14,1685780
2019,9,23,5,1560654
2019,9,13,11,1401502
2019,9,13,7,1463410
2019,9,20,6,1558248
2019,9,27,10,1672640
2019,9,13,4,1162562
2019,9,13,3,1161887
2019,9,25,10,1777294
2019,9,13,8,1386701
2019,9,25,9,1799951
2019,9,27,9,1543471
2019,9,27,6,1469757
2019,9,13,9,1400793
2019,9,27,5,1428110
2019,9,27,4,1261937
2019,9,20,7,1595750
2019,9,30,18,2207089
2019,9,25,12,1590068
2019,9,27,11,1548603
2019,9,20,8,1599375
2019,9,13,5,1215250
2019,9,25,7,1595660
2019,9,30,14,1684348
2019,9,20,9,1607663
2019,9,20,4,1395976
2019,9,27,7,1498347
2019,9,30,16,2156079
2019,9,20,2,1431470
2019,9,20,3,1402948
2019,9,30,17,2140184
2019,9,25,8,1649088
2019,9,30,19,2274719
2019,9,20,5,1451920
2019,9,13,2,1245509
2019,9,27,8,1498781
2019,9,30,15,1945297
2019,9,25,11,1598697
2019,9,25,13,1637505
2019,9,13,10,1352226
2019,9,13,6,1330666
2019,9,29,12,1655542
2019,9,29,8,1984917
2019,9,15,17,1777528
2019,9,15,12,1754104
2019,9,28,13,1625342
2019,9,29,11,1820067
2019,9,15,18,1843783
2019,9,28,9,2104192
2019,9,27,17,1526945
2019,9,27,14,1588880
2019,9,27,12,1623455
2019,9,26,5,1469202
2019,9,15,14,1873508
2019,9,26,9,1735015
2019,9,27,16,1483360
2019,9,27,13,1616241
2019,9,26,8,1626216
2019,9,29,13,1704559
2019,9,27,19,1654021
2019,9,15,16,1780624
2019,9,29,9,2132206
2019,9,28,11,1837536
2019,9,15,13,1806145
2019,9,28,8,2028713
2019,9,26,7,1624329
2019,9,28,12,1608123
2019,9,27,18,1509310
2019,9,27,15,1582634
2019,9,29,10,2162825
2019,9,28,10,2094958
2019,9,26,6,1487703
2019,9,26,11,1611158
2019,9,26,10,1727778
2019,9,15,15,1861741
2018,9,4,14,1963913
2019,9,16,15,1825818
2018,9,4,13,1977503
2019,9,2,7,1443101
2018,9,27,16,2066271
2019,9,2,2,1127684
2019,9,16,13,1807426
2019,9,16,11,1755015
2019,9,16,14,1825591
2018,9,4,19,1871788
2019,9,2,9,1430348
2019,9,2,3,1123792
2019,9,28,2,1460701
2018,9,27,10,1883303
2019,9,28,7,1958212
2019,9,2,4,1153440
2018,9,4,16,1806027
2019,9,28,3,1637080
2018,9,4,18,1775953
2018,9,4,15,1857914
2018,9,27,9,1882249
2019,9,28,5,1796933
2018,9,27,13,1883618
2018,9,27,15,2167573
2019,9,2,5,1287036
2019,9,16,10,1686326
2018,9,27,11,1777121
2018,9,27,12,1821753
2019,9,28,6,1924533
2019,9,16,9,1702761
2019,9,2,0,1160243
2018,9,4,12,1965963
2018,9,4,17,1805627
2019,9,2,6,1376296
2019,9,16,12,1770337
2019,9,28,4,1678406
2018,9,27,14,2021025
2019,9,2,8,1411374
2019,9,2,1,1173281
2018,9,25,8,1726298
2019,9,26,13,1599602
2018,9,25,3,1408715
2019,9,26,14,1640713
2018,9,25,5,1629420
2018,9,8,12,1903098
2018,9,25,9,1804144
2018,9,24,9,1808014
2018,9,24,8,1854374
2019,9,24,2,1691137
2018,9,24,11,1775987
2018,9,8,7,1751849
2019,9,26,16,1555370
2019,9,24,3,1458874
2019,9,26,18,1535772
2019,9,24,4,1458490
2019,9,26,12,1515714
2018,9,8,5,1601173
2018,9,8,8,1816574
2018,9,25,7,1759925
2018,9,25,4,1660305
2018,9,24,7,1882404
2019,9,24,1,1917245
2018,9,8,11,1737681
2018,9,25,6,1792194
2018,9,8,6,1661971
2018,9,24,13,1901109
2019,9,24,5,1598524
2018,9,25,10,1848163
2018,9,8,10,1755613
2019,9,24,0,1910753
2019,9,26,15,1525173
2018,9,8,9,1788626
2019,9,26,19,1586517
2019,9,26,17,1545416
2018,9,24,10,2038046
2018,9,24,12,1893008
2019,9,11,5,1169862
2018,9,18,4,1523741
2018,9,24,17,1934030
2019,9,11,2,1133333
2018,9,24,18,2032675
2018,9,24,14,2051304
2018,9,18,7,1691057
2019,9,11,8,1365621
2019,9,24,9,2098976
2019,9,22,10,1480623
2019,9,24,10,1887085
2019,9,22,7,1338748
2019,9,22,11,1493103
2019,9,22,5,1139475
2018,9,18,3,1555998
2018,9,24,19,2004877
2019,9,11,1,1175572
2018,9,18,5,1497510
2019,9,24,6,1828991
2018,9,24,16,2000150
2018,9,18,2,1591652
2018,9,18,8,1718577
2019,9,11,0,1144103
2018,9,24,20,2050427
2018,9,18,6,1671104
2019,9,11,3,1075351
2019,9,22,6,1238217
2019,9,24,7,1977954
2019,9,22,3,1102690
2019,9,11,4,1085868
2018,9,24,15,2020157
2019,9,11,7,1344685
2018,9,18,9,1772137
2019,9,22,4,1131196
2019,9,11,6,1230199
2019,9,22,8,1382490
2018,9,18,1,1665363
2019,9,22,9,1406894
2019,9,11,9,1494274
2019,9,24,8,2135848
2018,9,12,13,1847805
2018,9,4,8,1671957
2019,9,12,17,1579146
2018,9,13,19,1821317
2019,9,12,12,1552922
2018,9,13,12,1768344
2018,9,15,8,1766012
2018,9,13,17,1808666
2018,9,4,6,1597526
2018,9,15,9,1790939
2018,9,13,18,1796509
2018,9,4,9,1676045
2018,9,15,5,1658528
2018,9,4,11,1821534
2018,9,15,6,1775616
2018,9,15,3,1553386
2018,9,13,16,1752366
2018,9,12,15,2735536
2018,9,15,2,1604885
2018,9,4,7,1632529
2018,9,4,5,1492202
2018,9,13,15,1791320
2019,9,12,18,1574269
2018,9,13,13,1920677
2018,9,12,11,1670487
2019,9,12,13,1585081
2019,9,12,14,1608398
2018,9,13,14,1829282
2018,9,15,4,1607506
2018,9,12,10,1747837
2018,9,12,12,1813072
2019,9,12,15,1594320
2019,9,12,11,1471233
2019,9,12,16,1628817
2018,9,12,9,1730855
2018,9,15,7,1719449
2018,9,12,14,2121469
2018,9,4,4,1479186
2018,9,4,10,1705552
2019,9,6,14,1636494
2019,9,30,7,1319762
2019,9,6,15,1616734
2019,9,30,5,1178337
2019,9,6,8,1440932
2019,9,24,14,1950004
2018,9,23,13,1990238
2019,9,23,14,1745526
2018,9,23,7,1751782
2019,9,23,16,1926041
2018,9,23,10,1975463
2019,9,6,9,1422481
2019,9,24,13,1740521
2019,9,6,12,1482248
2018,9,23,11,1879935
2019,9,23,15,1865026
2019,9,30,9,1362428
2019,9,23,17,1941045
2018,9,23,9,1973026
2019,9,24,11,1654221
2019,9,24,12,1658125
2018,9,23,8,1886634
2019,9,30,13,1636947
2018,9,23,12,1833222
2019,9,6,13,1576104
2019,9,24,15,2033229
2019,9,23,13,1673330
2019,9,30,10,1521279
2019,9,30,12,1572540
2019,9,23,18,1886950
2019,9,30,6,1233083
2019,9,30,8,1361940
2019,9,30,11,1494050
2019,9,6,11,1445121
2019,9,24,16,2011077
2019,9,6,10,1431262
2019,9,8,9,1360253
2019,9,8,3,1014274
2018,9,28,18,2187535
2019,9,23,12,1743303
2019,9,8,8,1325004
2018,9,28,15,1923884
2019,9,8,2,1057755
2018,9,28,17,1913418
2019,9,8,7,1278788
2019,9,23,10,2155386
2018,9,28,13,1860672
2018,9,6,8,1913864
2018,9,7,15,1965984
2018,9,19,7,2033724
2018,9,7,14,1958702
2019,9,8,1,1054606
2018,9,19,12,2096945
2018,9,6,13,2003435
2018,9,19,9,2054578
2019,9,23,8,2034143
2018,9,7,11,1771767
2018,9,19,8,1984728
2018,9,28,16,1921587
2018,9,7,10,2050203
2018,9,6,11,1843113
2018,9,7,12,1803914
2018,9,28,14,1990507
2018,9,6,9,1766705
2018,9,28,19,2342275
2018,9,6,14,2032390
2018,9,7,16,1957726
2018,9,6,12,1955122
2018,9,19,10,2105222
2019,9,8,10,1379192
2018,9,19,11,1968755
2019,9,8,6,1190692
2019,9,8,5,1117444
2018,9,6,10,1798776
2018,9,7,13,1893544
2019,9,23,9,2163223
2018,9,19,13,1984759
2019,9,23,11,1777184
2019,9,8,4,1069399
2018,9,2,22,1550111
2019,9,11,16,1567826
2018,9,29,14,1898059
2018,9,29,11,1766161
2018,9,29,13,1857208
2019,9,11,14,1561703
2019,9,7,6,1278849
2018,9,29,12,1817659
2018,9,2,18,1845038
2019,9,9,9,1274109
2019,9,7,4,1225399
2019,9,9,12,1412252
2018,9,2,16,1709947
2018,9,2,20,1884647
2019,9,21,13,1551364
2018,9,2,17,1700225
2019,9,9,8,1272239
2019,9,11,15,1562025
2019,9,11,11,1379569
2019,9,9,6,1216868
2019,9,11,10,1435279
2019,9,11,13,1552845
2019,9,7,2,853735
2018,9,2,23,1483411
2019,9,7,5,1237797
2019,9,9,5,1077947
2018,9,29,10,1918107
2019,9,7,9,1416130
2019,9,21,15,1621740
2018,9,2,21,1766882
2018,9,2,19,2001221
2019,9,11,17,1512838
2019,9,7,7,1383395
2019,9,21,14,1609050
2019,9,21,18,1614790
2019,9,7,3,1195555
2019,9,11,12,1464560
2019,9,9,10,1320185
2019,9,9,13,1494701
2019,9,9,7,1311073
2019,9,21,16,1613071
2018,9,29,8,1933843
2019,9,7,10,1414318
2019,9,9,11,1375588
2019,9,7,8,1468816
2019,9,21,12,1709415
2018,9,29,9,1884744
2019,9,21,17,1621119
2018,9,14,15,1886121
2019,9,1,14,1617313
2018,9,1,23,1470484
2018,9,19,0,1667935
2019,9,10,15,1564429
2018,9,19,1,1790155
2018,9,21,11,1703402
2018,9,1,17,1737264
2018,9,21,10,1834948
2019,9,1,11,1486106
2018,9,19,2,1928711
2019,9,10,11,1447684
2019,9,10,10,1432829
2018,9,14,13,1699421
2018,9,14,17,1908362
2018,9,1,22,1517516
2019,9,1,8,1407292
2018,9,1,19,1790179
2018,9,1,21,1590678
2019,9,1,15,1590278
2018,9,21,13,1964400
2019,9,1,12,1528327
2018,9,21,14,2040385
2018,9,14,18,1871682
2018,9,1,20,1715068
2019,9,10,9,1468743
2018,9,21,8,1884648
2019,9,10,13,1502040
2018,9,14,14,1849385
2018,9,1,16,1716790
2018,9,21,12,1960587
2018,9,21,9,2034706
2019,9,1,10,1435925
2018,9,14,12,1682341
2018,9,19,5,1779503
2019,9,10,14,1589339
2018,9,19,6,1881984
2019,9,10,12,1480957
2018,9,14,11,1613531
2018,9,19,3,1877523
2018,9,14,16,1843826
2019,9,1,13,1534675
2018,9,19,4,1881193
2019,9,1,9,1431690
2018,9,1,18,1718078
2019,9,10,8,1350728
2019,9,16,20,1918025
2018,9,5,7,1583231
2019,9,3,5,1327127
2019,9,5,17,1520113
2018,9,20,6,1589023
2019,9,3,2,1377859
2018,9,5,8,1646925
2019,9,3,4,1299323
2019,9,20,21,1663397
2019,9,5,19,1575255
2019,9,3,1,1386454
2019,9,20,19,1593088
2019,9,3,7,1511901
2018,9,20,10,1862118
2019,9,3,8,1507954
2018,9,5,5,1470424
2019,9,3,3,1308225
2019,9,3,6,1440351
2019,9,16,17,1872680
2018,9,5,4,1430105
2019,9,5,16,1554533
2019,9,20,20,1710223
2018,9,20,7,1720164
2018,9,5,3,1468868
2019,9,16,21,1774336
2019,9,20,16,1552375
2019,9,5,21,1431150
2019,9,20,17,1538162
2018,9,20,4,1490668
2018,9,20,8,1821981
2019,9,5,18,1533270
2018,9,5,9,1734751
2019,9,20,18,1609665
2019,9,20,22,1467287
2018,9,5,10,1681264
2018,9,20,11,1889913
2018,9,20,9,1833709
2019,9,5,20,1577614
2019,9,5,15,1563026
2018,9,5,6,1582687
2019,9,16,16,1776853
2018,9,20,5,1486537
2019,9,16,19,1996411
2019,9,5,14,1545266
2019,9,16,18,1953513
2019,9,25,20,1604141
2019,9,22,16,1606227
2019,9,25,4,1401174
2019,9,22,14,1618523
2018,9,17,7,1903217
2019,9,22,13,1573567
2019,9,25,5,1412042
2019,9,25,0,1322536
2019,9,4,16,1627546
2018,9,17,9,1885580
2018,9,26,10,1828423
2019,9,25,14,1674993
2018,9,17,8,1906697
2018,9,26,8,1911221
